ticker,first_price,last_price,total_return_pct
JPM,58.21,106.94,83.714100
BAC,16.10,29.52,83.354000
RMD,46.20,84.69,83.311700
ALLE,43.65,79.56,82.268000
CFG,23.08,41.98,81.889100
MA,83.41,151.36,81.465100
DRE,15.05,27.21,80.797300
ADI,49.28,89.03,80.661500
DRI,53.32,96.02,80.082500
GLW,17.77,31.99,80.022500
CMS,26.30,47.30,79.847900
AMT,79.45,142.67,79.572100
INTC,25.79,46.16,78.984100
UAL,37.73,67.40,78.637700
PKI,40.94,73.12,78.602800
FDX,139.77,249.54,78.536200
MCD,96.41,172.12,78.529200
IFF,85.65,152.61,78.178600
FIS,53.00,94.09,77.528300
COO,123.05,217.88,77.066200
STI,36.52,64.59,76.862000
LH,90.23,159.51,76.781600
IT,69.80,123.15,76.432700
TMK,51.62,90.71,75.726500
CAT,89.87,157.58,75.342200
XEL,27.51,48.11,74.881900
PLD,36.91,64.51,74.776500
RF,9.89,17.28,74.721900
TEL,54.45,95.04,74.545500
CSCO,22.00,38.30,74.090900
DE,90.26,156.51,73.399100
RJF,51.55,89.30,73.229900
TMO,109.63,189.88,73.200800
